player_id,year,player_name,position_combine,School,height(1),Height(inches),weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2012RileReif,2012,Riley Reiff,OT,Iowa,6 ft 6 in,78,313,5.16,26.5,23,98,7.87,4.75,DET,T,T,1,23
2012KendReye,2012,Kendall Reyes,DT,Connecticut,6 ft 4 in,76,299,4.82,34.5,36,113,7.43,4.53,SDG,DT,DT,2,49
2012JoshRobi,2012,Josh Robinson,CB,Central Florida,5 ft 10 in,70,199,4.29,38.5,17,133,6.55,3.97,MIN,DB,DB,3,66
2012EvanRodr,2012,Evan Rodriguez,FB,Temple,6 ft 1 in,73,239,4.53,36,18,119,6.94,4.28,CHI,TE,TE,4,111
2012ZebrSand,2012,Zebrie Sanders,OT,Florida State,6 ft 6 in,78,320,5.33,27,28,100,8.15,4.99,BUF,OL,T,5,144
2012MohaSanu,2012,Mohamed Sanu,WR,Rutgers,6 ft 1 in,73,211,4.62,36,19,126,6.88,4.22,CIN,WR,WR,3,83
2012MitcSchw,2012,Mitchell Schwartz,OT,California,6 ft 5 in,77,318,5.38,26.5,23,89,7.86,4.87,CLE,T,T,2,37
2012CotySens,2012,Coty Sensabaugh,CB,Clemson,5 ft 11 in,71,189,4.33,37,15,122,6.6,4.06,TEN,DB,DB,4,115
2012AminSila,2012,Amini Silatolu,OG,Midwestern State,6 ft 4 in,76,311,5.33,31.5,28,107,7.95,4.87,CAR,G,G,2,40
2012HarrSmit,2012,Harrison Smith,S,Notre Dame,6 ft 2 in,74,213,4.54,34,19,122,6.63,4.12,MIN,DB,DB,1,29
2012ScotSolo,2012,Scott Solomon,DE,Rice,6 ft 3 in,75,262,4.88,35,34,124,7.17,4.25,TEN,DE,DE,7,211
2012SeanSpen,2012,Sean Spence,OLB,Miami (FL),5 ft 11 in,71,231,4.66,33.5,12,119,7.46,4.28,PIT,LB,LB,3,86
2012DonaStep,2012,Donald Stephenson,OT,Oklahoma,6 ft 5 in,77,312,4.94,35.5,19,114,7.52,4.78,KAN,T,T,3,74
2012NathStup,2012,Nathan Stupar,OLB,Penn State,6 ft 2 in,74,241,4.65,31,21,116,6.84,4.28,OAK,LB,LB,7,230
2012J.R.Swee,2012,J.R. Sweezy,DT,North Carolina State,6 ft 5 in,77,298,4.97,36,21,113,7.4,4.41,SEA,DT,DT,7,225
2012BranThom,2012,Brandon Thompson,DT,Clemson,6 ft 2 in,74,314,5.2,31,35,100,7.97,4.71,CIN,DT,DT,3,93
2012ChriThom,2012,Christian Thompson,S,South Carolina State,6 ft 0 in,72,211,4.42,31.5,18,122,7.33,4.13,BAL,DB,DB,4,130
2012AndrTill,2012,Andrew Tiller,OG,Syracuse,6 ft 4 in,76,324,5.44,23,16,85,7.92,4.8,NOR,G,G,6,179
2012RobeTurb,2012,Robert Turbin,RB,Utah State,5 ft 10 in,70,222,4.42,36,28,122,7.16,4.31,SEA,RB,RB,4,106
2012OlivVern,2012,Olivier Vernon,DE,Miami (FL),6 ft 2 in,74,261,4.73,34.5,31,122,7.39,4.5,MIA,LB,LB,3,72
2012TrevWade,2012,Trevin Wade,CB,Arizona,5 ft 10 in,70,192,4.52,34.5,18,116,6.87,4,CLE,DB,DB,7,245
2012BranWash,2012,Brandon Washington,OG,Miami (FL),6 ft 3 in,75,320,5.14,25,28,101,8.22,4.87,PHI,G,G,6,200
2012CoreWhit,2012,Corey White,S,Samford,5 ft 11 in,71,206,4.53,37.5,15,126,6.72,4.22,NOR,DB,DB,5,162
2012JordWhit,2012,Jordan White,WR,West. Michigan,6 ft 0 in,72,208,4.63,35,14,119,6.84,4.13,NYJ,WR,WR,7,244
2012TahiWhit,2012,Tahir Whitehead,OLB,Temple,6 ft 1 in,73,233,4.62,37,21,124,7.14,4.37,DET,LB,LB,5,138
2012KyleWilb,2012,Kyle Wilber,OLB,Wake Forest,6 ft 4 in,76,249,4.73,33.5,25,117,7.11,4.31,DAL,LB,LB,4,113
2012BillWinn,2012,Billy Winn,DE,Boise State,6 ft 4 in,76,294,4.86,27,24,107,7.37,4.44,CLE,DT,DT,6,205
2012DereWolf,2012,Derek Wolfe,DT,Cincinnati,6 ft 5 in,77,295,4.93,33.5,33,108,7.26,4.44,DEN,DT,DT,2,36
2012JariWrig,2012,Jarius Wright,WR,Arkansas,5 ft 10 in,70,182,4.39,38,11,120,6.93,4.03,MIN,WR,WR,4,118
2012KeviZeit,2012,Kevin Zeitler,OG,Wisconsin,6 ft 4 in,76,314,5.32,29,32,101,7.77,4.61,CIN,G,G,1,27
2013OdayAbou,2013,Oday Aboushi,OT,Virginia,6 ft 5 in,77,308,5.41,23.5,17,100,7.92,4.84,NYJ,T,T,5,141
2013RobeAlfo,2013,Robert Alford,CB,SE Louisiana,5 ft 10 in,70,188,4.39,40,17,132,6.89,4.23,ATL,DB,DB,2,60
2013MarcAnth,2013,Marc Anthony,CB,California,5 ft 11 in,71,196,4.63,35,12,118,6.74,4.07,BAL,DB,DB,7,247
2013TerrArms,2013,Terron Armstead,OT,Ark-Pine Bluff,6 ft 5 in,77,306,4.71,34.5,31,112,7.62,4.72,NOR,T,T,3,75
2013StedBail,2013,Stedman Bailey,WR,West Virginia,5 ft 10 in,70,193,4.52,34.5,11,117,6.81,4.09,STL,WR,WR,3,92
2013DaviBakh,2013,David Bakhtiari,OT,Colorado,6 ft 4 in,76,299,5.18,25.5,28,101,7.7,4.74,GNB,T,T,4,109
2013MontBall,2013,Montee Ball,RB,Wisconsin,5 ft 10 in,70,214,4.66,32,15,118,6.88,4.4,DEN,RB,RB,2,58
2013JohnBank,2013,Johnthan Banks,CB,Mississippi State,6 ft 2 in,74,185,4.61,34,10,125,6.97,4.27,TAM,DB,DB,2,43
2013KenjBarn,2013,Kenjon Barner,RB,Oregon,5 ft 9 in,69,196,4.52,35.5,20,122,6.87,4.2,CAR,RB,RB,6,182
2013DaviBass,2013,David Bass,DE,Missouri Western State,6 ft 4 in,76,262,4.84,30.5,20,111,7.07,4.33,OAK,DE,DE,7,233
2013StevBeau,2013,Steve Beauharnais,ILB,Rutgers,6 ft 1 in,73,240,4.84,33,19,118,6.99,4.2,NWE,LB,LB,7,235
2013Le'VBell,2013,Le'Veon Bell,RB,Michigan State,6 ft 1 in,73,230,4.6,31.5,24,118,6.75,4.24,PIT,RB,RB,2,48
2013GiovBern,2013,Giovani Bernard,RB,North Carolina,5 ft 8 in,68,202,4.53,33.5,19,122,6.91,4.12,CIN,RB,RB,2,37
2013TommBoha,2013,Tommy Bohanon,FB,Wake Forest,6 ft 1 in,73,246,4.88,35,36,119,7.27,4.42,NYJ,RB,RB,7,215
2013TravBond,2013,Travis Bond,OG,North Carolina,6 ft 6 in,78,329,5.27,22.5,22,98,7.85,4.96,MIN,G,G,7,214
2013JoshBoyc,2013,Josh Boyce,WR,TCU,5 ft 11 in,71,206,4.38,34,22,131,6.68,4.1,NWE,WR,WR,4,102
2013JoshBoyd,2013,Josh Boyd,DT,Mississippi State,6 ft 3 in,75,310,5.14,26.5,32,104,7.16,4.64,GNB,DE,DE,5,167
2013MichBuch,2013,Michael Buchanan,DE,Illinois,6 ft 5 in,77,255,4.78,33,22,113,6.91,4.44,NWE,DE,DE,7,226
2013Rex Burk,2013,Rex Burkhead,RB,Nebraska,5 ft 10 in,70,214,4.73,39,21,125,6.85,4.09,CIN,RB,RB,6,190
2013JamiColl,2013,Jamie Collins,OLB,Southern Miss,6 ft 3 in,75,250,4.64,41.5,19,139,7.1,4.32,NWE,LB,LB,2,52
2013JonaCoop,2013,Jonathan Cooper,OG,North Carolina,6 ft 2 in,74,311,5.07,27,35,108,7.78,4.84,ARI,G,G,1,7
2013KnilDavi,2013,Knile Davis,RB,Arkansas,5 ft 11 in,71,227,4.37,33.5,31,121,6.96,4.38,KAN,RB,RB,3,96
2013WillDavi,2013,Will Davis,CB,Utah State,5 ft 11 in,71,186,4.51,35.5,16,127,6.52,4.02,MIA,DB,DB,3,93
2013EverDawk,2013,Everett Dawkins,DT,Florida State,6 ft 2 in,74,292,5.06,30,23,103,7.61,4.88,MIN,DT,DT,7,229
2013TyleEife,2013,Tyler Eifert,TE,Notre Dame,6 ft 5 in,77,250,4.68,35.5,22,119,6.92,4.32,CIN,TE,TE,1,21
2013ZachErtz,2013,Zach Ertz,TE,Stanford,6 ft 5 in,77,249,4.76,30.5,24,111,7.08,4.47,PHI,TE,TE,2,35
2013EricFish,2013,Eric Fisher,OT,Central Michigan,6 ft 7 in,79,306,5.05,28.5,27,116,7.59,4.44,KAN,T,T,1,1
2013ReidFrag,2013,Reid Fragel,OT,Ohio State,6 ft 8 in,80,308,5.14,30,33,113,7.62,4.68,CIN,OL,T,7,240
2013JohnFran,2013,Johnathan Franklin,RB,UCLA,5 ft 10 in,70,205,4.49,31.5,18,115,6.89,4.31,GNB,RB,RB,4,125
2013TravFred,2013,Travis Frederick,C,Wisconsin,6 ft 4 in,76,312,5.58,28.5,21,97,7.81,4.76,DAL,C,C,1,31
2013WillGhol,2013,William Gholston,DE,Michigan State,6 ft 6 in,78,281,4.96,28.5,23,110,7.2,4.59,TAM,DE,DE,4,126
2013GarrGilk,2013,Garrett Gilkey,OT,Chadron State,6 ft 6 in,78,318,5.29,30,28,108,7.65,4.75,CLE,T,T,7,227
2013MikeGill,2013,Mike Gillislee,RB,Florida,5 ft 11 in,71,208,4.55,30.5,15,119,7.12,4.4,MIA,RB,RB,5,164
2013ZaviGood,2013,Zaviar Gooden,OLB,Missouri,6 ft 1 in,73,234,4.47,34,27,131,6.71,4.18,TEN,LB,LB,3,97
2013ChriGrag,2013,Chris Gragg,TE,Arkansas,6 ft 3 in,75,244,4.5,37.5,18,125,7.08,4.51,BUF,TE,TE,7,222
2013DwayGrat,2013,Dwayne Gratz,CB,Connecticut,5 ft 11 in,71,201,4.47,38,22,125,6.7,4.15,JAX,DB,DB,3,64
2013KhasGree,2013,Khaseem Greene,OLB,Rutgers,6 ft 1 in,73,241,4.71,30,17,116,7.58,4.2,CHI,LB,LB,4,117
2013ChriHarp,2013,Chris Harper,WR,Kansas State,6 ft 1 in,73,229,4.55,35.5,20,116,6.89,4.39,SEA,WR,WR,4,123
2013BranHepb,2013,Brandon Hepburn,ILB,Florida A&M,6 ft 2 in,74,240,4.68,32,21,124,7.4,4.55,DET,LB,LB,7,245
2013EricHerm,2013,Eric Herman,OG,Ohio,6 ft 4 in,76,320,5.25,28,36,95,7.99,5.09,NYG,OL,G,7,225
2013JordHill,2013,Jordan Hill,DT,Penn State,6 ft 1 in,73,303,5.23,22.5,28,103,7.49,4.51,SEA,DT,DT,3,87
