player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
Jason Doering,S,Wisconsin,5-11,202.0,4.73,,,,7.07,4.12,2001,2001DOERINGJASONWIS,2001Jason Doering,6.0,193.0,IND,No,DB,5.0,23.0,2004.0,0.0,0.0,0.0,5.0,5.0,53.0,,,,,,,,,,,,69.0,,
Char-Ron Dorsey,OT,Florida State,6-6,348.0,5.99,,16.0,,,,2001,2001DORSEYCHAR-RONFLO,2001Char-ron Dorsey,7.0,242.0,DAL,No,T,1.0,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,,,,,,,,,
Eric Downing,DT,Syracuse,6-3,302.0,5.23,,27.0,,,,2001,2001DOWNINGERICSYR,2001Eric Downing,3.0,75.0,KAN,No,DT,7.0,23.0,2004.0,0.0,0.0,1.0,7.0,7.0,45.0,,,,,,,,,,,,31.0,,2
Shawn Draper,OG,Alabama,6-3,303.0,5.3,32.0,17.0,106.0,8.1,4.77,2001,2001DRAPERSHAWNALA,2001Shawn Draper,5.0,156.0,MIA,No,T,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Patrick Dyson,CB,Utah,5-11,192.0,4.55,31.5,,114.0,,,2001,2001DYSONPATRICKUTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Dyson,CB,Utah,5-10,179.0,4.4,,,119.0,,,2001,2001DYSONANDREUTA,2001Andre Dyson,2.0,60.0,TEN,No,DB,29.0,22.0,2007.0,0.0,0.0,5.0,32.0,23.0,96.0,,,,,,,,,,,,279.0,22.0,1
Nijrell Eason,CB,Arizona State,6-1,201.0,4.59,34.5,19.0,119.0,,,2001,2001EASONNIJRELLARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Edwards,DT,Texas A&M,6-3,293.0,4.86,,,,,,2001,2001EDWARDSRONTEX,2001Ron Edwards,3.0,76.0,BUF,No,DT,13.0,22.0,2012.0,0.0,0.0,6.0,39.0,10.0,139.0,,,,,,,,,,,,145.0,,16.5
Heath Evans,FB,Auburn,6-0,246.0,4.56,34.5,30.0,111.0,7.3,4.24,2001,2001EVANSHEATHAUB,2001Heath Evans,3.0,82.0,SEA,No,FB,4.0,22.0,2010.0,0.0,0.0,0.0,8.0,1.0,143.0,,,,,,164.0,579.0,4.0,57.0,439.0,4.0,24.0,,
Mario Fatafehi,DT,Kansas State,6-2,295.0,5.29,,,,,,2001,2001FATAFEHIMARIOKAN,2001Mario Fatafehi,5.0,133.0,ARI,No,DT,14.0,22.0,2004.0,0.0,0.0,1.0,14.0,1.0,45.0,,,,,,,,,,,,40.0,,5
