Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
Kareem Larrimore,CB,West Texas A&M,,11-May,190,4.42,34,,125,,,2000,LarrKa20,2000,4,109,DAL,No,DB,DB,3,24,2001,0,0,0,3,3,19,,,,,,,,,,,,17,,,West Texas A&M
Leif Larsen,DT,Texas-El Paso,,4-Jun,300,5.08,30,45,110,7.46,4.37,2000,LarsLe20,2000,6,194,BUF,No,DT,DT,3,25,2001,0,0,0,3,3,16,,,,,,,,,,,,16,,2,Texas-El Paso
Shane Lechler,P,Texas A&M,,2-Jun,234,,,,,,,2000,LechSh20,2000,5,142,OAK,No,P,P,18,24,2016,6,7,0,42,39,264,3,5,49,1,0,6,0,0,,,,17,,,Texas A&M
Charles Lee,WR,Central Florida,,1-Jun,202,4.56,35.5,,125,7.3,4.25,2000,LeexCh00,2000,7,242,GNB,No,WR,WR,6,22,2005,0,0,0,7,1,44,,,,,,2,14,0,72,957,3,7,,,Central Florida
Jamal Lewis,RB,Tennessee,,Jun-00,240,4.58,,23,,,,2000,LewiJa00,2000,1,5,BAL,No,RB,RB,48,21,2009,1,1,9,71,53,131,,,,,,2542,10607,58,221,1879,4,8,,,Tennessee
Anthony Lucas,WR,Arkansas,,3-Jun,194,4.53,35,,121,,,2000,,2000,4,114,GNB,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas
Dustin Lyman,ILB,Wake Forest,,4-Jun,259,4.7,35,22,118,6.86,4.06,2000,LymaDu00,2000,3,87,CHI,No,TE,TE,2,24,2004,0,0,1,2,2,55,,,,,,,,,37,278,3,15,,,Wake Forest
David Macklin,CB,Penn State,,9-May,194,4.54,37.5,,120,6.9,4.09,2000,MackDa20,2000,3,91,IND,No,DB,DB,24,22,2008,0,0,4,29,14,120,,,,,,,,,,,,311,14,1,Penn St.
Anthony Malbrough,CB,Texas Tech,,9-May,184,4.44,35.5,20,117,6.73,4,2000,MalbAn20,2000,5,130,CLE,No,DB,DB,1,23,2000,0,0,0,1,1,9,,,,,,,,,,,,15,,,Texas Tech
Tee Martin,QB,Tennessee,,2-Jun,227,4.58,34.5,,113,,,2000,MartTe00,2000,5,163,PIT,No,QB,QB,0,22,2003,0,0,0,0,0,3,6,16,69,0,1,6,36,0,,,,,,,Tennessee
Stockar McDougle,OT,Oklahoma,,5-Jun,361,5.5,,24,,,,2000,McDoSt20,2000,1,20,DET,No,T,T,22,23,2006,0,0,3,22,20,81,,,,,,,,,,,,,,,Oklahoma
Chris McIntosh,OT,Wisconsin,,6-Jun,315,5.39,,28,,,,2000,McInCh20,2000,1,22,SEA,No,T,T,8,23,2001,0,0,0,8,8,24,,,,,,,,,,,,,,,Wisconsin
