player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
Chris Daniels,WR,Purdue,6 ft 3 in,217.0,4.74,33.0,14.0,115.0,7.2,4.24,2000,2000DANIELSCHRISPUR,8.0,999.0,75,0.0,1.0,1.0,2.0,1.0,1.0,6.0,0
Brandon Daniels,WR,Oklahoma,5 ft 10 in,211.0,4.54,35.0,14.0,119.0,7.03,4.23,2000,2000DANIELSBRANDONOKL,8.0,999.0,70,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
Joe Dean Davenport,TE,Arkansas,6 ft 7 in,268.0,5.06,30.0,13.0,108.0,7.33,4.67,2000,2000DEANJOEARK,8.0,999.0,79,1.0,1.0,1.0,1.0,2.0,1.0,7.0,0
Darren Davis,RB,Iowa State,5 ft 8 in,189.0,4.81,32.0,13.0,109.0,7.04,4.47,2000,2000DAVISDARRENIOW,8.0,999.0,68,1.0,1.0,1.0,1.0,3.0,1.0,8.0,0
Adam Davis,OG,Oklahoma State,6 ft 4 in,309.0,5.66,26.0,23.0,92.0,8.51,5.0,2000,2000DAVISADAMOKL,8.0,999.0,76,0.0,1.0,1.0,1.0,1.0,2.0,6.0,0
JaJuan Dawson,WR,Tulane,6 ft 1 in,199.0,4.55,34.0,15.0,117.0,6.96,4.16,2000,2000DAWSONJAJUANTUL,3.0,79.0,73,0.0,2.0,2.0,3.0,3.0,2.0,12.0,1
Ron Dayne,RB,Wisconsin,5 ft 11 in,259.0,4.65,35.0,20.0,119.0,7.0,4.2,2000,2000DAYNERONWIS,1.0,11.0,71,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Jerry DeLoach,DT,California,6 ft 3 in,314.0,4.99,31.5,19.0,101.0,7.4,4.57,2000,2000DELOACHJERRYCAL,8.0,999.0,75,1.0,2.0,3.0,3.0,4.0,4.0,17.0,0
Mike Derouselle,DT,Houston,6 ft 2 in,314.0,5.28,27.5,27.0,96.0,7.67,4.8,2000,2000DEROUSELLEMIKEHOU,8.0,999.0,74,2.0,1.0,1.0,1.0,3.0,2.0,10.0,0
Na'il Diggs,OLB,Ohio State,6 ft 4 in,231.0,4.66,34.5,23.0,118.0,7.09,4.28,2000,2000DIGGSNA'ILOHI,4.0,98.0,76,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Reuben Droughns,RB,Oregon,5 ft 11 in,215.0,4.66,30.0,13.0,115.0,7.34,4.41,2000,2000DROUGHNSREUBENORE,3.0,81.0,71,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1
Ron Dugans,WR,Florida State,6 ft 1 in,206.0,4.58,36.0,15.0,117.0,6.92,4.18,2000,2000DUGANSRONFLO,3.0,66.0,73,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1
Deon Dyer,FB,North Carolina,5 ft 11 in,260.0,4.99,28.0,23.0,104.0,7.88,4.81,2000,2000DYERDEONNOR,4.0,117.0,71,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1
Chris Edwards,OLB,Georgia Tech,6 ft 5 in,226.0,4.65,34.0,22.0,115.0,7.165,4.31,2000,2000EDWARDSCHRISGEO,8.0,999.0,77,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0
Mario Edwards,CB,Florida State,6 ft 0 in,191.0,4.46,36.0,15.0,120.0,6.9,4.14,2000,2000EDWARDSMARIOFLO,6.0,180.0,72,0.0,2.0,3.0,0.0,0.0,0.0,5.0,1
Shaun Ellis,DE,Tennessee,6 ft 4 in,280.0,4.85,33.5,24.0,115.0,7.245,4.4,2000,2000ELLISSHAUNTEN,1.0,12.0,76,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
